h3,counts,min_depth,max_depth,salinity,min_salinity,max_salinity,temperature,min_temperature,max_temperature,oxygen,min_oxygen,max_oxygen,latitude,longitude
84db80bffffffff,3,399.0,728.0,,,,,,,,,,-49.42021,178.76793
84db80dffffffff,1,832.0,832.0,,,,,,,,,,-48.94013,179.55336
84db811ffffffff,1,874.0,874.0,,,,,,,,,,-49.60217,177.59085
84db81bffffffff,1,1335.0,1335.0,,,,,,,,,,-49.98559,177.36856
84db825ffffffff,2,59.0,148.0,,,,,,,,,,-47.58128,179.22174
84db827ffffffff,2,311.0,311.0,,,,,,,,,,-47.67235,178.65566
84db83dffffffff,1,726.0,726.0,,,,,,,,,,-48.44663,178.23882
84db855ffffffff,19,508.0,1144.0,,,,,,,,,,-49.70984,179.14254
84db857ffffffff,7,315.0,2055.0,,,,,,,,,,-49.80437,178.55592
84db861ffffffff,1,710.0,710.0,,,,,,,,,,-48.45647,-179.67881
84db865ffffffff,1,693.0,693.0,,,,,,,,,,-48.06964,-179.48554
84db867ffffffff,1,280.0,280.0,,,,,,,,,,-48.16745,179.95249
84db86bffffffff,1,735.0,735.0,,,,,,,,,,-48.84263,-179.87489
84db88bffffffff,1,869.0,869.0,,,,,,,,,,-50.00924,174.56974
84db8e9ffffffff,1,1522.0,1522.0,,,,,,,,,,-49.38999,176.62488
84db8ebffffffff,1,1280.0,1280.0,,,,,,,,,,-49.47198,176.02573
84db9c1ffffffff,2,927.0,929.0,,,,,,,,,,-47.45949,177.72391
84dbb33ffffffff,2,1165.0,1165.0,,,,,,,,,,-47.96958,-178.92827
84dbb37ffffffff,2,1280.0,1280.0,,,,,,,,,,-47.5821,-178.74249
84dc28bffffffff,1,4255.0,4255.0,,,,,,,,,,-55.98623,-22.15384
84dd44bffffffff,1,2550.0,2550.0,,,,,,,,,,-60.09151,-29.90018
84dd44dffffffff,1,2283.0,2283.0,,,,,,,,,,-60.39817,-28.53169
84dd49bffffffff,5,3189.0,3189.0,,,,,,,,,,-55.92951,-34.2919
84dd51bffffffff,1,2400.0,2400.0,,,,,,,,,,-58.0718,-25.75599
84dd581ffffffff,1,2318.0,2318.0,,,,,,,,,,-56.36253,-26.62847
84dd589ffffffff,21,107.0,423.0,,,,,,,,,,-56.73188,-26.9203
84dd58bffffffff,15,132.0,292.0,,,,,,,,,,-56.40963,-27.3855
84dd5a1ffffffff,1,5895.0,5895.0,,,,,,,,,,-55.88382,-24.85717
84dd5c1ffffffff,5,2325.0,2325.0,,,,,,,,,,-57.42622,-26.7417
84dd5c7ffffffff,4,336.0,1668.0,,,,,,,,,,-57.05345,-26.44546
84dd5cdffffffff,10,412.0,2495.0,,,,,,,,,,-57.74946,-26.25402
84dd5d7ffffffff,1,2393.0,2393.0,,,,,,,,,,-56.45215,-28.1451
84dd625ffffffff,1,4667.0,4667.0,,,,,,,,,,-61.12111,-28.37073
84dd635ffffffff,3,952.0,952.0,,,,,,,,,,-60.46746,-30.27597
84dd653ffffffff,1,3505.0,3505.0,,,,,,,,,,-61.63354,-34.20719
84dd699ffffffff,2,1759.0,1759.0,,,,,,,,,,-58.72499,-36.73255
84dd6c7ffffffff,7,1126.0,1126.0,,,,,,,,,,-59.81702,-34.66612
84dd6cbffffffff,7,832.0,2022.0,,,,,,,,,,-60.172,-35.96838
84dd6d3ffffffff,1,2817.0,2817.0,,,,,,,,,,-59.07476,-37.17517
84dd6e1ffffffff,6,890.0,890.0,,,,,,,,,,-59.80553,-32.95137
84dd6e5ffffffff,10,597.0,655.0,,,,,,,,,,-59.79143,-32.09497
84dd6edffffffff,4,632.0,632.0,,,,,,,,,,-60.15997,-32.49562
84de033ffffffff,16,451.0,1508.0,,,,,,,,,,-53.96205,-52.17632
84de26bffffffff,1,3866.0,3866.0,,,,,,,,,,-57.90329,-56.67505
84de285ffffffff,12,35.0,126.0,,,,,,,,,,-54.55107,-56.98006
84de2a3ffffffff,5,1883.0,1883.0,,,,,,,,,,-54.04553,-55.88382
84de2a9ffffffff,13,348.0,348.0,,,,,,,,,,-54.67725,-56.31709
84de2adffffffff,42,1749.0,1867.0,,,,,,,,,,-54.80016,-55.64798
84de2c1ffffffff,1,3578.0,3578.0,,,,,,,,,,-55.29423,-58.68523
84de2c3ffffffff,2,2452.0,2837.0,,,,,,,,,,-54.91208,-58.76923
84de2d1ffffffff,1,88.0,88.0,,,,,,,,,,-54.39288,-59.49684
84de2d7ffffffff,4,110.0,110.0,,,,,,,,,,-54.15377,-58.93126
84de2e3ffffffff,1,265.0,265.0,,,,,,,,,,-54.93068,-56.87509
84de303ffffffff,2,4058.0,4058.0,,,,,,,,,,-57.565,-51.90126
84de345ffffffff,4,3260.0,3260.0,,,,,,,,,,-59.02903,-51.93
84de409ffffffff,1,238.0,238.0,,,,,,,,,,-49.55481,-59.26829
84de453ffffffff,1,275.0,275.0,,,,,,,,,,-48.9518,-60.42342
84de461ffffffff,2,150.0,300.0,,,,,,,,,,-50.15416,-58.0679
